YEAR-MONTH,RIDERSHIP,BUDGET,COVERAGE,POPULATION
2009-1,12100000,41683333,,592228
2009-2,11700000,41683333,,592228
2009-3,11900000,41683333,,592228
2009-4,12300000,41683333,,592228
2009-5,10200000,41683333,,592228
2009-6,10500000,41683333,,592228
2009-7,10200000,41683333,,592228
2009-8,10200000,41683333,,592228
2009-9,11300000,41683333,,592228
2009-10,11200000,41683333,,592228
2009-11,10900000,41683333,,592228
2009-12,11300000,41683333,,592228
2010-1,11800000,42175000,,604453
2010-2,11200000,42175000,,604453
2010-3,11400000,42175000,,604453
2010-4,11300000,42175000,,604453
2010-5,9800000,42175000,,604453
2010-6,9300000,42175000,,604453
2010-7,9600000,42175000,,604453
2010-8,7100000,42175000,,604453
2010-9,11000000,42175000,,604453
2010-10,10800000,42175000,,604453
2010-11,10300000,42175000,,604453
2010-12,10500000,42175000,,604453
2011-1,16000000,41683333,,620427
2011-2,16000000,41683333,,620427
2011-3,19700000,41683333,,620427
2011-4,19300000,41683333,,620427
2011-5,18400000,41683333,,620427
2011-6,20000000,41683333,,620427
2011-7,19500000,41683333,,620427
2011-8,18400000,41683333,,620427
2011-9,18000000,41683333,,620427
2011-10,18500000,41683333,,620427
2011-11,17200000,41683333,,620427
2011-12,16400000,41683333,,620427
2012-1,10800000,43350000,,635040
2012-2,10900000,43350000,,635040
2012-3,11700000,43350000,,635040
2012-4,11000000,43350000,,635040
2012-5,11600000,43350000,,635040
2012-6,11000000,43350000,,635040
2012-7,11200000,43350000,,635040
2012-8,11900000,43350000,,635040
2012-9,11300000,43350000,,635040
2012-10,11200000,43350000,,635040
2012-11,10800000,43350000,,635040
2012-12,10100000,43350000,,635040
2013-1,10700000,47083333,,649111
2013-2,10400000,47083333,,649111
2013-3,11300000,47083333,,649111
2013-4,11600000,47083333,,649111
2013-5,12100000,47083333,,649111
2013-6,11200000,47083333,,649111
2013-7,11800000,47083333,,649111
2013-8,11700000,47083333,,649111
2013-9,11700000,47083333,,649111
2013-10,12300000,47083333,,649111
2013-11,11000000,47083333,,649111
2013-12,10400000,47083333,,649111
2014-1,10500000,48275000,,658893
2014-2,10100000,48275000,,658893
2014-3,10800000,48275000,,658893
2014-4,11800000,48275000,,658893
2014-5,11800000,48275000,,658893
2014-6,11600000,48275000,,658893
2014-7,11900000,48275000,,658893
2014-8,11600000,48275000,,658893
2014-9,11900000,48275000,,658893
2014-10,12300000,48275000,,658893
2014-11,10200000,48275000,,658893
2014-12,10500000,48275000,,658893
