YEAR-MONTH,RIDERSHIP,BUDGET,COVERAGE,POPULATION
2009-1,21000000,63441666,,592228
2009-2,18500000,63441666,,592228
2009-3,18200000,63441666,,592228
2009-4,19700000,63441666,,592228
2009-5,16100000,63441666,,592228
2009-6,16400000,63441666,,592228
2009-7,18500000,63441666,,592228
2009-8,16600000,63441666,,592228
2009-9,19100000,63441666,,592228
2009-10,20300000,63441666,,592228
2009-11,18400000,63441666,,592228
2009-12,20100000,63441666,,592228
2010-1,20500000,65233333,,604453
2010-2,17900000,65233333,,604453
2010-3,17800000,65233333,,604453
2010-4,19000000,65233333,,604453
2010-5,16400000,65233333,,604453
2010-6,16000000,65233333,,604453
2010-7,16500000,65233333,,604453
2010-8,13400000,65233333,,604453
2010-9,20300000,65233333,,604453
2010-10,20800000,65233333,,604453
2010-11,18300000,65233333,,604453
2010-12,20300000,65233333,,604453
2011-1,9300000,67833333,,620427
2011-2,9700000,67833333,,620427
2011-3,11500000,67833333,,620427
2011-4,10800000,67833333,,620427
2011-5,10900000,67833333,,620427
2011-6,11100000,67833333,,620427
2011-7,10600000,67833333,,620427
2011-8,11400000,67833333,,620427
2011-9,11200000,67833333,,620427
2011-10,10900000,67833333,,620427
2011-11,10600000,67833333,,620427
2011-12,10400000,67833333,,620427
2012-1,16500000,67525000,,635040
2012-2,16600000,67525000,,635040
2012-3,19700000,67525000,,635040
2012-4,19000000,67525000,,635040
2012-5,19100000,67525000,,635040
2012-6,19500000,67525000,,635040
2012-7,18900000,67525000,,635040
2012-8,18200000,67525000,,635040
2012-9,16600000,67525000,,635040
2012-10,17400000,67525000,,635040
2012-11,16200000,67525000,,635040
2012-12,14600000,67525000,,635040
2013-1,17300000,74700000,,649111
2013-2,15700000,74700000,,649111
2013-3,17900000,74700000,,649111
2013-4,19700000,74700000,,649111
2013-5,18500000,74700000,,649111
2013-6,17900000,74700000,,649111
2013-7,19400000,74700000,,649111
2013-8,18000000,74700000,,649111
2013-9,16900000,74700000,,649111
2013-10,17200000,74700000,,649111
2013-11,15700000,74700000,,649111
2013-12,14700000,74700000,,649111
2014-1,15200000,80150000,,658893
2014-2,14400000,80150000,,658893
2014-3,16800000,80150000,,658893
2014-4,19500000,80150000,,658893
2014-5,18100000,80150000,,658893
2014-6,18300000,80150000,,658893
2014-7,19400000,80150000,,658893
2014-8,17600000,80150000,,658893
2014-9,17500000,80150000,,658893
2014-10,18800000,80150000,,658893
2014-11,15400000,80150000,,658893
2014-12,15700000,80150000,,658893
