YEAR-MONTH,RIDERSHIP,BUDGET,COVERAGE,POPULATION
2014-1,202083333,53068333,<coverage>,<popdens>
2014-2,202083333,53068333,<coverage>,<popdens>
2014-3,202083333,53068333,<coverage>,<popdens>
2014-4,202083333,53068333,<coverage>,<popdens>
2014-5,202083333,53068333,<coverage>,<popdens>
2014-6,202083333,53068333,<coverage>,<popdens>
2014-7,202083333,53068333,<coverage>,<popdens>
2014-8,202083333,53068333,<coverage>,<popdens>
2014-9,202083333,53068333,<coverage>,<popdens>
2014-10,202083333,53068333,<coverage>,<popdens>
2014-11,202083333,53068333,<coverage>,<popdens>
2014-12,202083333,53068333,<coverage>,<popdens>
2015-1,203750000,56249166,<coverage>,<popdens>
2015-2,203750000,56249166,<coverage>,<popdens>
2015-3,203750000,56249166,<coverage>,<popdens>
2015-4,203750000,56249166,<coverage>,<popdens>
2015-5,203750000,56249166,<coverage>,<popdens>
2015-6,203750000,56249166,<coverage>,<popdens>
2015-7,203750000,56249166,<coverage>,<popdens>
2015-8,203750000,56249166,<coverage>,<popdens>
2015-9,203750000,56249166,<coverage>,<popdens>
2015-10,203750000,56249166,<coverage>,<popdens>
2015-11,203750000,56249166,<coverage>,<popdens>
2015-12,203750000,56249166,<coverage>,<popdens>
2016-1,194833333,52341666,<coverage>,<popdens>
2016-2,194833333,52341666,<coverage>,<popdens>
2016-3,194833333,52341666,<coverage>,<popdens>
2016-4,194833333,52341666,<coverage>,<popdens>
2016-5,194833333,52341666,<coverage>,<popdens>
2016-6,194833333,52341666,<coverage>,<popdens>
2016-7,194833333,52341666,<coverage>,<popdens>
2016-8,194833333,52341666,<coverage>,<popdens>
2016-9,194833333,52341666,<coverage>,<popdens>
2016-10,194833333,52341666,<coverage>,<popdens>
2016-11,194833333,52341666,<coverage>,<popdens>
2016-12,194833333,52341666,<coverage>,<popdens>
