YEAR-MONTH,RIDERSHIP,BUDGET,COVERAGE,POPULATION
2014-1,109316667,137305833,<coverage>,<popdens>
2014-2,109316667,137305833,<coverage>,<popdens>
2014-3,109316667,137305833,<coverage>,<popdens>
2014-4,109316667,137305833,<coverage>,<popdens>
2014-5,109316667,137305833,<coverage>,<popdens>
2014-6,109316667,137305833,<coverage>,<popdens>
2014-7,109316667,137305833,<coverage>,<popdens>
2014-8,109316667,137305833,<coverage>,<popdens>
2014-9,109316667,137305833,<coverage>,<popdens>
2014-10,109316667,137305833,<coverage>,<popdens>
2014-11,109316667,137305833,<coverage>,<popdens>
2014-12,109316667,137305833,<coverage>,<popdens>
2015-1,112000000,137941667,<coverage>,<popdens>
2015-2,112000000,137941667,<coverage>,<popdens>
2015-3,112000000,137941667,<coverage>,<popdens>
2015-4,112000000,137941667,<coverage>,<popdens>
2015-5,112000000,137941667,<coverage>,<popdens>
2015-6,112000000,137941667,<coverage>,<popdens>
2015-7,112000000,137941667,<coverage>,<popdens>
2015-8,112000000,137941667,<coverage>,<popdens>
2015-9,112000000,137941667,<coverage>,<popdens>
2015-10,112000000,137941667,<coverage>,<popdens>
2015-11,112000000,137941667,<coverage>,<popdens>
2015-12,112000000,137941667,<coverage>,<popdens>
2016-1,117083333,80511666,<coverage>,<popdens>
2016-2,117083333,80511666,<coverage>,<popdens>
2016-3,117083333,80511666,<coverage>,<popdens>
2016-4,117083333,80511666,<coverage>,<popdens>
2016-5,117083333,80511666,<coverage>,<popdens>
2016-6,117083333,80511666,<coverage>,<popdens>
2016-7,117083333,80511666,<coverage>,<popdens>
2016-8,117083333,80511666,<coverage>,<popdens>
2016-9,117083333,80511666,<coverage>,<popdens>
2016-10,117083333,80511666,<coverage>,<popdens>
2016-11,117083333,80511666,<coverage>,<popdens>
2016-12,117083333,80511666,<coverage>,<popdens>
