YEAR-MONTH,RIDERSHIP,BUDGET,COVERAGE,POPULATION
2008-1,130687792,154037500,<coverage>,<popdens>
2008-2,125878662,154037500,<coverage>,<popdens>
2008-3,137148128,154037500,<coverage>,<popdens>
2008-4,136528969,154037500,<coverage>,<popdens>
2008-5,140151863,154037500,<coverage>,<popdens>
2008-6,136670880,154037500,<coverage>,<popdens>
2008-7,137724560,154037500,<coverage>,<popdens>
2008-8,130906150,154037500,<coverage>,<popdens>
2008-9,138407478,154037500,<coverage>,<popdens>
2008-10,145276862,154037500,<coverage>,<popdens>
2008-11,128600655,154037500,<coverage>,<popdens>
2008-12,135899369,154037500,<coverage>,<popdens>
2009-1,126009217,156262500,<coverage>,<popdens>
2009-2,120462055,156262500,<coverage>,<popdens>
2009-3,136722849,156262500,<coverage>,<popdens>
2009-4,133627175,156262500,<coverage>,<popdens>
2009-5,133291045,156262500,<coverage>,<popdens>
2009-6,134869386,156262500,<coverage>,<popdens>
2009-7,132712155,156262500,<coverage>,<popdens>
2009-8,124429585,156262500,<coverage>,<popdens>
2009-9,132849077,156262500,<coverage>,<popdens>
2009-10,140665575,156262500,<coverage>,<popdens>
2009-11,129582208,156262500,<coverage>,<popdens>
2009-12,134646273,156262500,<coverage>,<popdens>
2010-1,124453847,158862500,<coverage>,<popdens>
2010-2,116642180,158862500,<coverage>,<popdens>
2010-3,141694962,158862500,<coverage>,<popdens>
2010-4,137493648,158862500,<coverage>,<popdens>
2010-5,136783505,158862500,<coverage>,<popdens>
2010-6,137776559,158862500,<coverage>,<popdens>
2010-7,131462116,158862500,<coverage>,<popdens>
2010-8,129614344,158862500,<coverage>,<popdens>
2010-9,134616599,158862500,<coverage>,<popdens>
2010-10,142062724,158862500,<coverage>,<popdens>
2010-11,135692863,158862500,<coverage>,<popdens>
2010-12,135904672,158862500,<coverage>,<popdens>
2011-1,126714693,171375000,<coverage>,<popdens>
2011-2,123148197,171375000,<coverage>,<popdens>
2011-3,144992308,171375000,<coverage>,<popdens>
2011-4,134759291,171375000,<coverage>,<popdens>
2011-5,140211645,171375000,<coverage>,<popdens>
2011-6,146943606,171375000,<coverage>,<popdens>
2011-7,131188482,171375000,<coverage>,<popdens>
2011-8,128020545,171375000,<coverage>,<popdens>
2011-9,138363218,171375000,<coverage>,<popdens>
2011-10,144272734,171375000,<coverage>,<popdens>
2011-11,139725379,171375000,<coverage>,<popdens>
2011-12,141987712,171375000,<coverage>,<popdens>
2012-1,132772387,176175000,<coverage>,<popdens>
2012-2,132353517,176175000,<coverage>,<popdens>
2012-3,147440937,176175000,<coverage>,<popdens>
2012-4,139083547,176175000,<coverage>,<popdens>
2012-5,148398562,176175000,<coverage>,<popdens>
2012-6,141989816,176175000,<coverage>,<popdens>
2012-7,137123261,176175000,<coverage>,<popdens>
2012-8,139368048,176175000,<coverage>,<popdens>
2012-9,136962617,176175000,<coverage>,<popdens>
2012-10,137138044,176175000,<coverage>,<popdens>
2012-11,124291965,176175000,<coverage>,<popdens>
2012-12,137234842,176175000,<coverage>,<popdens>
2013-1,136985100,178675000,<coverage>,<popdens>
2013-2,127917491,178675000,<coverage>,<popdens>
2013-3,142934752,178675000,<coverage>,<popdens>
2013-4,146388413,178675000,<coverage>,<popdens>
2013-5,150544399,178675000,<coverage>,<popdens>
2013-6,141256868,178675000,<coverage>,<popdens>
2013-7,140790832,178675000,<coverage>,<popdens>
2013-8,138694131,178675000,<coverage>,<popdens>
2013-9,141551981,178675000,<coverage>,<popdens>
2013-10,156450636,178675000,<coverage>,<popdens>
2013-11,141464184,178675000,<coverage>,<popdens>
2013-12,142545974,178675000,<coverage>,<popdens>
2014-1,137104015,181175000,<coverage>,<popdens>
2014-2,129798394,181175000,<coverage>,<popdens>
2014-3,148399611,181175000,<coverage>,<popdens>
2014-4,147926218,181175000,<coverage>,<popdens>
2014-5,152779557,181175000,<coverage>,<popdens>
2014-6,147972716,181175000,<coverage>,<popdens>
2014-7,146387263,181175000,<coverage>,<popdens>
2014-8,140032698,181175000,<coverage>,<popdens>
2014-9,149379082,181175000,<coverage>,<popdens>
2014-10,160094868,181175000,<coverage>,<popdens>
2014-11,141224462,181175000,<coverage>,<popdens>
2014-12,150150167,181175000,<coverage>,<popdens>
2015-1,133769924,183675000,<coverage>,<popdens>
2015-2,130778251,183675000,<coverage>,<popdens>
2015-3,153076928,183675000,<coverage>,<popdens>
2015-4,150348150,183675000,<coverage>,<popdens>
2015-5,151418931,183675000,<coverage>,<popdens>
2015-6,152034275,183675000,<coverage>,<popdens>
2015-7,148098272,183675000,<coverage>,<popdens>
2015-8,139974023,183675000,<coverage>,<popdens>
2015-9,146515000,183675000,<coverage>,<popdens>
2015-10,161124042,183675000,<coverage>,<popdens>
2015-11,144519447,183675000,<coverage>,<popdens>
2015-12,150834412,183675000,<coverage>,<popdens>
2016-1,136398047,186175000,<coverage>,<popdens>
2016-2,136664250,186175000,<coverage>,<popdens>
2016-3,156301199,186175000,<coverage>,<popdens>
2016-4,147249614,186175000,<coverage>,<popdens>
2016-5,151920019,186175000,<coverage>,<popdens>
2016-6,151015860,186175000,<coverage>,<popdens>
2016-7,139753730,186175000,<coverage>,<popdens>
2016-8,143813044,186175000,<coverage>,<popdens>
2016-9,148475298,186175000,<coverage>,<popdens>
2016-10,150646792,186175000,<coverage>,<popdens>
2016-11,147010476,186175000,<coverage>,<popdens>
2016-12,147527051,186175000,<coverage>,<popdens>
2017-1,140332537,-1,<coverage>,<popdens>
