"YEAR-MONTH","RIDERSHIP","BUDGET (yearly/12)","COVERAGE","POPULATION"
2008-1,60889506,20538333,<coverage>,<popdens>
2008-2,57631961,20538333,<coverage>,<popdens>
2008-3,64147814,20538333,<coverage>,<popdens>
2008-4,63701847,20538333,<coverage>,<popdens>
2008-5,65582363,20538333,<coverage>,<popdens>
2008-6,62609260,20538333,<coverage>,<popdens>
2008-7,61878187,20538333,<coverage>,<popdens>
2008-8,58465618,20538333,<coverage>,<popdens>
2008-9,64956000,20538333,<coverage>,<popdens>
2008-10,67390000,20538333,<coverage>,<popdens>
2008-11,59213000,20538333,<coverage>,<popdens>
2008-12,60348000,20538333,<coverage>,<popdens>
2009-1,58200405,20835000,<coverage>,<popdens>
2009-2,56959039,20835000,<coverage>,<popdens>
2009-3,65574537,20835000,<coverage>,<popdens>
2009-4,62183189,20835000,<coverage>,<popdens>
2009-5,63714187,20835000,<coverage>,<popdens>
2009-6,61470181,20835000,<coverage>,<popdens>
2009-7,58621866,20835000,<coverage>,<popdens>
2009-8,55813560,20835000,<coverage>,<popdens>
2009-9,61277073,20835000,<coverage>,<popdens>
2009-10,65187884,20835000,<coverage>,<popdens>
2009-11,59500722,20835000,<coverage>,<popdens>
2009-12,57968949,20835000,<coverage>,<popdens>
2010-1,55536876,21181666,<coverage>,<popdens>
2010-2,50967260,21181666,<coverage>,<popdens>
2010-3,63734422,21181666,<coverage>,<popdens>
2010-4,61770630,21181666,<coverage>,<popdens>
2010-5,61939306,21181666,<coverage>,<popdens>
2010-6,60096854,21181666,<coverage>,<popdens>
2010-7,56288501,21181666,<coverage>,<popdens>
2010-8,54888218,21181666,<coverage>,<popdens>
2010-9,58849746,21181666,<coverage>,<popdens>
2010-10,61953116,21181666,<coverage>,<popdens>
2010-11,58061221,21181666,<coverage>,<popdens>
2010-12,50743111,21181666,<coverage>,<popdens>
2011-1,50743111,22850000,<coverage>,<popdens>
2011-2,50216572,22850000,<coverage>,<popdens>
2011-3,61735281,22850000,<coverage>,<popdens>
2011-4,55612772,22850000,<coverage>,<popdens>
2011-5,59422831,22850000,<coverage>,<popdens>
2011-6,57107762,22850000,<coverage>,<popdens>
2011-7,52969610,22850000,<coverage>,<popdens>
2011-8,50284616,22850000,<coverage>,<popdens>
2011-9,56742629,22850000,<coverage>,<popdens>
2011-10,59104357,22850000,<coverage>,<popdens>
2011-11,56291862,22850000,<coverage>,<popdens>
2011-12,55049742,22850000,<coverage>,<popdens>
2012-1,53239455,23490000,<coverage>,<popdens>
2012-2,53946511,23490000,<coverage>,<popdens>
2012-3,60752861,23490000,<coverage>,<popdens>
2012-4,55797244,23490000,<coverage>,<popdens>
2012-5,60349656,23490000,<coverage>,<popdens>
2012-6,55703596,23490000,<coverage>,<popdens>
2012-7,53077065,23490000,<coverage>,<popdens>
2012-8,53981834,23490000,<coverage>,<popdens>
2012-9,55187634,23490000,<coverage>,<popdens>
2012-10,55202371,23490000,<coverage>,<popdens>
2012-11,51787611,23490000,<coverage>,<popdens>
2012-12,53221342,23490000,<coverage>,<popdens>
2013-1,55788332,23823333,<coverage>,<popdens>
2013-2,52375116,23823333,<coverage>,<popdens>
2013-3,57796137,23823333,<coverage>,<popdens>
2013-4,59560909,23823333,<coverage>,<popdens>
2013-5,60105544,23823333,<coverage>,<popdens>
2013-6,55007828,23823333,<coverage>,<popdens>
2013-7,54524753,23823333,<coverage>,<popdens>
2013-8,53706309,23823333,<coverage>,<popdens>
2013-9,57166478,23823333,<coverage>,<popdens>
2013-10,63165156,23823333,<coverage>,<popdens>
2013-11,55159303,23823333,<coverage>,<popdens>
2013-12,53181046,23823333,<coverage>,<popdens>
2014-1,51002214,24156666,<coverage>,<popdens>
2014-2,48252763,24156666,<coverage>,<popdens>
2014-3,59237901,24156666,<coverage>,<popdens>
2014-4,56943475,24156666,<coverage>,<popdens>
2014-5,59972215,24156666,<coverage>,<popdens>
2014-6,56216411,24156666,<coverage>,<popdens>
2014-7,54949008,24156666,<coverage>,<popdens>
2014-8,52351543,24156666,<coverage>,<popdens>
2014-9,58388972,24156666,<coverage>,<popdens>
2014-10,62068673,24156666,<coverage>,<popdens>
2014-11,53196372,24156666,<coverage>,<popdens>
2014-12,54329963,24156666,<coverage>,<popdens>
2015-1,49654222,24490000,<coverage>,<popdens>
2015-2,47545151,24490000,<coverage>,<popdens>
2015-3,57323440,24490000,<coverage>,<popdens>
2015-4,55191877,24490000,<coverage>,<popdens>
2015-5,57124900,24490000,<coverage>,<popdens>
2015-6,54947346,24490000,<coverage>,<popdens>
2015-7,53374702,24490000,<coverage>,<popdens>
2015-8,51054063,24490000,<coverage>,<popdens>
2015-9,54392233,24490000,<coverage>,<popdens>
2015-10,58449039,24490000,<coverage>,<popdens>
2015-11,52985130,24490000,<coverage>,<popdens>
2015-12,58610335,24490000,<coverage>,<popdens>
2016-1,49049885,24823333,<coverage>,<popdens>
2016-2,50327673,24823333,<coverage>,<popdens>
2016-3,58720672,24823333,<coverage>,<popdens>
2016-4,54318126,24823333,<coverage>,<popdens>
2016-5,56608696,24823333,<coverage>,<popdens>
2016-6,54222089,24823333,<coverage>,<popdens>
2016-7,50453231,24823333,<coverage>,<popdens>
2016-8,52055737,24823333,<coverage>,<popdens>
2016-9,54848336,24823333,<coverage>,<popdens>
2016-10,54558371,24823333,<coverage>,<popdens>
2016-11,52389723,24823333,<coverage>,<popdens>
2016-12,50830973,24823333,<coverage>,<popdens>
2017-1,49629065,-1,<coverage>,<popdens>
