"YEAR-MONTH","RIDERSHIP","BUDGET (yearly/12)","COVERAGE","POPULATION"
2008-1,130687792,744975000,<coverage>,<popdens>
2008-2,125878662,744975000,<coverage>,<popdens>
2008-3,137148128,744975000,<coverage>,<popdens>
2008-4,136528969,744975000,<coverage>,<popdens>
2008-5,140151863,744975000,<coverage>,<popdens>
2008-6,136670880,744975000,<coverage>,<popdens>
2008-7,137724560,744975000,<coverage>,<popdens>
2008-8,130906150,744975000,<coverage>,<popdens>
2008-9,138407478,744975000,<coverage>,<popdens>
2008-10,145276862,744975000,<coverage>,<popdens>
2008-11,128600655,744975000,<coverage>,<popdens>
2008-12,135899369,744975000,<coverage>,<popdens>
2009-1,126009217,744975000,<coverage>,<popdens>
2009-2,120462055,744975000,<coverage>,<popdens>
2009-3,136722849,744975000,<coverage>,<popdens>
2009-4,133627175,744975000,<coverage>,<popdens>
2009-5,133291045,744975000,<coverage>,<popdens>
2009-6,134869386,744975000,<coverage>,<popdens>
2009-7,132712155,744975000,<coverage>,<popdens>
2009-8,124429585,744975000,<coverage>,<popdens>
2009-9,132849077,744975000,<coverage>,<popdens>
2009-10,140665575,744975000,<coverage>,<popdens>
2009-11,129582208,744975000,<coverage>,<popdens>
2009-12,134646273,744975000,<coverage>,<popdens>
2010-1,124453847,744975000,<coverage>,<popdens>
2010-2,116642180,744975000,<coverage>,<popdens>
2010-3,141694962,744975000,<coverage>,<popdens>
2010-4,137493648,744975000,<coverage>,<popdens>
2010-5,136783505,744975000,<coverage>,<popdens>
2010-6,137776559,744975000,<coverage>,<popdens>
2010-7,131462116,744975000,<coverage>,<popdens>
2010-8,129614344,744975000,<coverage>,<popdens>
2010-9,134616599,744975000,<coverage>,<popdens>
2010-10,142062724,744975000,<coverage>,<popdens>
2010-11,135692863,744975000,<coverage>,<popdens>
2010-12,135904672,744975000,<coverage>,<popdens>
2011-1,126714693,744975000,<coverage>,<popdens>
2011-2,123148197,744975000,<coverage>,<popdens>
2011-3,144992308,744975000,<coverage>,<popdens>
2011-4,134759291,744975000,<coverage>,<popdens>
2011-5,140211645,744975000,<coverage>,<popdens>
2011-6,146943606,744975000,<coverage>,<popdens>
2011-7,131188482,744975000,<coverage>,<popdens>
2011-8,128020545,744975000,<coverage>,<popdens>
2011-9,138363218,744975000,<coverage>,<popdens>
2011-10,144272734,744975000,<coverage>,<popdens>
2011-11,139725379,744975000,<coverage>,<popdens>
2011-12,141987712,744975000,<coverage>,<popdens>
2012-1,132772387,744975000,<coverage>,<popdens>
2012-2,132353517,744975000,<coverage>,<popdens>
2012-3,147440937,744975000,<coverage>,<popdens>
2012-4,139083547,744975000,<coverage>,<popdens>
2012-5,148398562,744975000,<coverage>,<popdens>
2012-6,141989816,744975000,<coverage>,<popdens>
2012-7,137123261,744975000,<coverage>,<popdens>
2012-8,139368048,744975000,<coverage>,<popdens>
2012-9,136962617,744975000,<coverage>,<popdens>
2012-10,137138044,744975000,<coverage>,<popdens>
2012-11,124291965,744975000,<coverage>,<popdens>
2012-12,137234842,744975000,<coverage>,<popdens>
2013-1,136985100,744975000,<coverage>,<popdens>
2013-2,127917491,744975000,<coverage>,<popdens>
2013-3,142934752,744975000,<coverage>,<popdens>
2013-4,146388413,744975000,<coverage>,<popdens>
2013-5,150544399,744975000,<coverage>,<popdens>
2013-6,141256868,744975000,<coverage>,<popdens>
2013-7,140790832,744975000,<coverage>,<popdens>
2013-8,138694131,744975000,<coverage>,<popdens>
2013-9,141551981,744975000,<coverage>,<popdens>
2013-10,156450636,744975000,<coverage>,<popdens>
2013-11,141464184,744975000,<coverage>,<popdens>
2013-12,142545974,744975000,<coverage>,<popdens>
2014-1,137104015,744975000,<coverage>,<popdens>
2014-2,129798394,744975000,<coverage>,<popdens>
2014-3,148399611,744975000,<coverage>,<popdens>
2014-4,147926218,744975000,<coverage>,<popdens>
2014-5,152779557,744975000,<coverage>,<popdens>
2014-6,147972716,744975000,<coverage>,<popdens>
2014-7,146387263,744975000,<coverage>,<popdens>
2014-8,140032698,744975000,<coverage>,<popdens>
2014-9,149379082,744975000,<coverage>,<popdens>
2014-10,160094868,744975000,<coverage>,<popdens>
2014-11,141224462,744975000,<coverage>,<popdens>
2014-12,150150167,744975000,<coverage>,<popdens>
2015-1,133769924,744975000,<coverage>,<popdens>
2015-2,130778251,744975000,<coverage>,<popdens>
2015-3,153076928,744975000,<coverage>,<popdens>
2015-4,150348150,744975000,<coverage>,<popdens>
2015-5,151418931,744975000,<coverage>,<popdens>
2015-6,152034275,744975000,<coverage>,<popdens>
2015-7,148098272,744975000,<coverage>,<popdens>
2015-8,139974023,744975000,<coverage>,<popdens>
2015-9,146515000,744975000,<coverage>,<popdens>
2015-10,161124042,744975000,<coverage>,<popdens>
2015-11,144519447,744975000,<coverage>,<popdens>
2015-12,150834412,744975000,<coverage>,<popdens>
2016-1,136398047,744975000,<coverage>,<popdens>
2016-2,136664250,744975000,<coverage>,<popdens>
2016-3,156301199,744975000,<coverage>,<popdens>
2016-4,147249614,744975000,<coverage>,<popdens>
2016-5,151920019,744975000,<coverage>,<popdens>
2016-6,151015860,744975000,<coverage>,<popdens>
2016-7,139753730,744975000,<coverage>,<popdens>
2016-8,143813044,744975000,<coverage>,<popdens>
2016-9,148475298,744975000,<coverage>,<popdens>
2016-10,150646792,744975000,<coverage>,<popdens>
2016-11,147010476,744975000,<coverage>,<popdens>
2016-12,147527051,744975000,<coverage>,<popdens>
2017-1,140332537,744975000,<coverage>,<popdens>
